text,label,cleaned_text,processed_text,source
"Like all abstract art , the film does not make this statement in an easily accessible way , and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all .",1.0,like all abstract art the film does not make this statement in an easily accessible way and unless prewarned it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all,like abstract art film make statement easily accessible way unless prewarned would possible reasonably intelligent person sit tidal wave imagery get vision,sst
"Despite its flaws , Secretary stays in your head and makes you question your own firmly held positions .",1.0,despite its flaws secretary stays in your head and makes you question your own firmly held positions,despite flaws secretary stays head makes question firmly held positions,sst
This movie ... does n't deserve the energy it takes to describe how bad it is .,0.0,this movie does nt deserve the energy it takes to describe how bad it is,movie nt deserve energy takes describe bad,sst
The film proves unrelentingly grim -- and equally engrossing .,1.0,the film proves unrelentingly grim and equally engrossing,film proves unrelentingly grim equally engrossing,sst
"Although the editing might have been tighter , Hush !",1.0,although the editing might have been tighter hush,although editing might tighter hush,sst
"Has its moments , but it 's pretty far from a treasure .",1.0,has its moments but it s pretty far from a treasure,moments pretty far treasure,sst
"This charming , thought-provoking New York fest of life and love has its rewards .",1.0,this charming thoughtprovoking new york fest of life and love has its rewards,charming thoughtprovoking new york fest life love rewards,sst
"While surprisingly sincere , this average little story is adorned with some awesome action photography and surfing .",1.0,while surprisingly sincere this average little story is adorned with some awesome action photography and surfing,surprisingly sincere average little story adorned awesome action photography surfing,sst
"Apart from its own considerable achievement , Metropolis confirms Tezuka 's status as both the primary visual influence on the animÃ© tradition and its defining philosophical conscience .",0.0,apart from its own considerable achievement metropolis confirms tezuka s status as both the primary visual influence on the anim tradition and its defining philosophical conscience,apart considerable achievement metropolis confirms tezuka status primary visual influence anim tradition defining philosophical conscience,sst
"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",1.0,this is a monumental achievement in practically every facet of inept filmmaking joyless idiotic annoying heavyhanded visually atrocious and often downright creepy,monumental achievement practically every facet inept filmmaking joyless idiotic annoying heavyhanded visually atrocious often downright creepy,sst
"Narratively , Trouble Every Day is a plodding mess .",1.0,narratively trouble every day is a plodding mess,narratively trouble every day plodding mess,sst
"Eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work .",1.0,eastwood is an icon of moviemaking one of the best actors directors and producers around responsible for some excellent work,eastwood icon moviemaking one best actors directors producers around responsible excellent work,sst
The most compelling Wiseman epic of recent years .,1.0,the most compelling wiseman epic of recent years,compelling wiseman epic recent years,sst
"Directing with a sure and measured hand , -LRB- Haneke -RRB- steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .",1.0,directing with a sure and measured hand lrb haneke rrb steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology,directing sure measured hand lrb haneke rrb steers clear sensational offers instead unflinching objective look decidedly perverse pathology,sst
MÃ¼nch 's genuine insight makes the film 's occasional overindulgence forgivable .,2.0,mnch s genuine insight makes the film s occasional overindulgence forgivable,mnch genuine insight makes film occasional overindulgence forgivable,sst
"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",1.0,deliberately and devotedly constructed far from heaven is too picture postcard perfect too neat and new pinlike too obviously a recreation to resonate,deliberately devotedly constructed far heaven picture postcard perfect neat new pinlike obviously recreation resonate,sst
