text,label,cleaned_text,processed_text
"Like all abstract art , the film does not make this statement in an easily accessible way , and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all .",1,like all abstract art the film does not make this statement in an easily accessible way and unless prewarned it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all,like abstract art film make statement easily accessible way unless prewarned would possible reasonably intelligent person sit tidal wave imagery get vision
"Despite its flaws , Secretary stays in your head and makes you question your own firmly held positions .",1,despite its flaws secretary stays in your head and makes you question your own firmly held positions,despite flaws secretary stays head makes question firmly held positions
This movie ... does n't deserve the energy it takes to describe how bad it is .,0,this movie does nt deserve the energy it takes to describe how bad it is,movie nt deserve energy takes describe bad
The film proves unrelentingly grim -- and equally engrossing .,1,the film proves unrelentingly grim and equally engrossing,film proves unrelentingly grim equally engrossing
"Although the editing might have been tighter , Hush !",1,although the editing might have been tighter hush,although editing might tighter hush
"Has its moments , but it 's pretty far from a treasure .",1,has its moments but it s pretty far from a treasure,moments pretty far treasure
"This charming , thought-provoking New York fest of life and love has its rewards .",1,this charming thoughtprovoking new york fest of life and love has its rewards,charming thoughtprovoking new york fest life love rewards
"While surprisingly sincere , this average little story is adorned with some awesome action photography and surfing .",1,while surprisingly sincere this average little story is adorned with some awesome action photography and surfing,surprisingly sincere average little story adorned awesome action photography surfing
"Apart from its own considerable achievement , Metropolis confirms Tezuka 's status as both the primary visual influence on the anim̩ tradition and its defining philosophical conscience .",0,apart from its own considerable achievement metropolis confirms tezuka s status as both the primary visual influence on the anim tradition and its defining philosophical conscience,apart considerable achievement metropolis confirms tezuka status primary visual influence anim tradition defining philosophical conscience
"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",1,this is a monumental achievement in practically every facet of inept filmmaking joyless idiotic annoying heavyhanded visually atrocious and often downright creepy,monumental achievement practically every facet inept filmmaking joyless idiotic annoying heavyhanded visually atrocious often downright creepy
"Narratively , Trouble Every Day is a plodding mess .",1,narratively trouble every day is a plodding mess,narratively trouble every day plodding mess
"Eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work .",1,eastwood is an icon of moviemaking one of the best actors directors and producers around responsible for some excellent work,eastwood icon moviemaking one best actors directors producers around responsible excellent work
The most compelling Wiseman epic of recent years .,1,the most compelling wiseman epic of recent years,compelling wiseman epic recent years
